Date,Subject Code
2024-04-30,EE42603
2024-04-30,EE42660
2024-04-30,EI27501
2024-04-30,EI47776
2024-04-30,IP43501
2024-04-30,IP43616
2024-04-30,IT28501
2024-04-30,IT48601
2024-04-30,IT48602
2024-04-30,ME23516
2024-04-30,PY4Y522
2024-05-01,CE31010
2024-05-01,CO34002
2024-05-01,CO37253
2024-05-01,EC35252
2024-05-01,EE32284
2024-05-01,IP33005
2024-05-01,IP39021
2024-05-01,IT38002
2024-05-01,MBA4504 
2024-05-01,ME36011
2024-05-01,PY3Y016
2024-05-02,CE21002
2024-05-02,CE41001
2024-05-02,CO44251
2024-05-02,EC24004
2024-05-02,EC24010
2024-05-02,EC25018
2024-05-02,EE22006
2024-05-02,EE29011
2024-05-02,EE47002
2024-05-02,EI27001
2024-05-02,IP23513
2024-05-02,IP42006
2024-05-02,IP43058
2024-05-02,IP45010
2024-05-02,IT28007
2024-05-02,ME26008
2024-05-02,ME46315
2024-05-02,ME46327
2024-05-02,PY4Y521
2024-05-03,BM39501
2024-05-03,CE31703
2024-05-03,CO34554
2024-05-03,EC35514
2024-05-03,EC37512
2024-05-03,EC37562
2024-05-03,EE32510
2024-05-03,IP33503
2024-05-03,IT38509
2024-05-03,MBA4100 
2024-05-03,MBA4707 
2024-05-03,ME36509
2024-05-03,PY3Y521
2024-05-06,CE21554
2024-05-06,CE41007
2024-05-06,CO44308
2024-05-06,CO44309
2024-05-06,CO44310
2024-05-06,EC28553
2024-05-06,EC29509
2024-05-06,EE42009
2024-05-06,EI47055
2024-05-06,IP43203
2024-05-06,MA22563
2024-05-06,MA24554
2024-05-06,MA25563
2024-05-06,MA27563
2024-05-06,ME23507
2024-05-06,ME26551
2024-05-06,ME46218
2024-05-06,ME46219
2024-05-06,PY4Y024
2024-05-08,CE31007
2024-05-08,EC35008
2024-05-08,EE32009
2024-05-08,IP33702
2024-05-08,IT37005
2024-05-08,IT38003
2024-05-08,MBA3304 
2024-05-08,PY3Y519
2024-05-09,CE21557
2024-05-09,CE41284
2024-05-09,CE41286
2024-05-09,CO24507
2024-05-09,EC25564
2024-05-09,EE22501
2024-05-09,EE42005
2024-05-09,EI47322
2024-05-09,IP43013
2024-05-09,IT28506
2024-05-09,MA26556
2024-05-09,MA29501
2024-05-09,MB4Y717
2024-05-09,ME23555
2024-05-09,ME46051
2024-05-15,BM39011
2024-05-15,CE31201
2024-05-15,CO34298
2024-05-15,EC35011
2024-05-15,EE32007
2024-05-15,EI37006
2024-05-15,IT38005
2024-05-15,MBA3005 
2024-05-15,ME33014
2024-05-15,ME36007
2024-05-15,PY3Y019
2024-05-16,CE21502
2024-05-16,CE41311
2024-05-16,CO24553
2024-05-16,EC25566
2024-05-16,EE22502
2024-05-16,EE42252
2024-05-16,EI27551
2024-05-16,IP23515
2024-05-16,IT28503
2024-05-16,ME26562
2024-05-16,ME46020
2024-05-16,PY4Y012
2024-05-17,CE31003
2024-05-17,CO34007
2024-05-17,EC35009
2024-05-17,EC37014
2024-05-17,EE32005
2024-05-17,IP33010
2024-05-17,IT38007
2024-05-17,MBA3309 
2024-05-17,ME33018
2024-05-17,ME36006
2024-05-17,PY3Y020
2024-05-20,CE21508
2024-05-20,CO24009
2024-05-20,EC25003
2024-05-20,EC25017
2024-05-20,EI27504
2024-05-20,EI29572
2024-05-20,IP26553
2024-05-20,MA28005
2024-05-20,ME23008
2024-05-20,PY4Y023
2024-05-21,CO34014
2024-05-21,IP33007
2024-05-21,IP33009
2024-05-21,IP36062
2024-05-21,PY3Y018
2024-05-22,BM29001
2024-05-22,BM29508
2024-05-22,CE21003
2024-05-22,CO23009
2024-05-22,CO23559
2024-05-22,CO24057
2024-05-22,EC22002
2024-05-22,EC22007
2024-05-22,EC25016
2024-05-22,EC28006
2024-05-22,EI23017
2024-05-22,EI27003
2024-05-22,EI29017
2024-05-22,ME26011
2024-05-24,BM29007
2024-05-24,CE21007
2024-05-24,EI27006
2024-05-24,EI27562
2024-05-24,HU22005
2024-05-24,HU24005
2024-05-24,HU25005
2024-05-24,HU27005
2024-05-24,IT28001
2024-05-24,ME26005
2024-05-27,MA21006
2024-05-27,MA22014
2024-05-27,MA23003
2024-05-27,MA24003
2024-05-27,MA25014
2024-05-27,MA26004
2024-05-27,MA27014
2024-05-27,MA29024
2024-05-28,IP23006
